obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
b663e8ffa7895328,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,158.6,,index_value,public_domain,,,2023Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
f5b8dd831360f816,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,160.1,,index_value,public_domain,,,2023Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
2c46ce3af65a1c7c,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,161.8,,index_value,public_domain,,,2024Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
c6de8bdb1c3fc671,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,163.3,,index_value,public_domain,,,2024Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
35a7f307bc2571bc,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,164.9,,index_value,public_domain,,,2024Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
26aa4c91aa2b9ef7,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,166.3,,index_value,public_domain,,,2024Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
e7aa410ee191e692,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,167.8,,index_value,public_domain,,,2025Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
48cf2e80db073e80,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,169.434,,index_value,public_domain,,,2025Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
3ca3423b0001e579,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,171.251,,index_value,public_domain,,,2025Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
5cfb86c90f172e4b,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,172.374,,index_value,public_domain,,,2025Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
cca9d8d064385e85,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,174.09,,index_value,public_domain,,,2026Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
9a914d7aeadcfa64,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,175.715,,index_value,public_domain,,,2026Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
a648e41a31d2393d,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in construction, extraction, farming, fishing, and forestry occupations, current dollar index",series_id CIU1010000405000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454700; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,126.1,,index_value,public_domain,,,2016Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"" / N: Includes farming, fishing, and forestry occupations."
e43934c83b00e7b2,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in construction, extraction, farming, fishing, and forestry occupations, current dollar index",series_id CIU1010000405000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454700; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,127.4,,index_value,public_domain,,,2016Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"" / N: Includes farming, fishing, and forestry occupations."
d39903c0394aac06,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in construction, extraction, farming, fishing, and forestry occupations, current dollar index",series_id CIU1010000405000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454700; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,127.6,,index_value,public_domain,,,2016Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"" / N: Includes farming, fishing, and forestry occupations."
