file	count	contexts	flag
jireishuu_en.html	1	footer_neutrality=1	
kira_v4.html	1	footer_neutrality=1	
kyutoki-guide.html	4	copyright=1;footer_company_line=1;footer_neutrality=1;jsonld_name=1	
llmo/aimitsumori-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/bugakari-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/cgpi-kakei-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/chiiki-kakei-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/cover-koho-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/ehn-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/gyaku-mitsumori-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/horizon-shield-toha/index.html	8	copyright=1;jsonld_name=2;jsonld_other=2;other_text=3	
llmo/index.html	1	copyright=1	
llmo/integrity-audit-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/isshiki-keijo-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/jccdb-toha/index.html	4	copyright=1;jsonld_name=3	
llmo/kashi-hoken-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/kensetsugyo-kyoka-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/kira-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/ptka-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/reform-yogo-glossary/index.html	3	copyright=1;jsonld_name=2	
llmo/shokeihi-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/souba-db-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/tekisei-kakaku-toha/index.html	3	copyright=1;jsonld_name=2	
llmo/vrq-toha/index.html	3	copyright=1;jsonld_name=2	
llms.txt	4	other_text=4	HAS_SIGNED_OR_CLAIM
lp/index.html	2	footer_neutrality=1;other_text=1	
map.html	1	footer_neutrality=1	
movement-us/index.html	2	footer_neutrality=1;jsonld_name=1	
movement/index.html	2	footer_neutrality=1;jsonld_name=1	
negotiate.html	2	footer_neutrality=1;jsonld_name=1	
opening.html	1	footer_neutrality=1	
partner/index.html	2	other_text=2	
pitch.html	1	footer_neutrality=1	
presentation.html	3	copyright=1;footer_neutrality=1;other_text=1	
proposal-en/index.html	2	footer_neutrality=1;jsonld_name=1	
qa/aircon-maker-tanka.html	2	footer_neutrality=1;jsonld_name=1	
qa/ashiba-koji-tanka.html	2	footer_neutrality=1;jsonld_name=1	
qa/beauty-salon-naisou-cost.html	2	footer_neutrality=1;jsonld_name=1	
qa/bisu-kane-tanka.html	2	footer_neutrality=1;jsonld_name=1	
qa/bousui-koji-tanka.html	2	footer_neutrality=1;jsonld_name=1	
