endpoint	state	outcome	tool_count	server_name	compensation_fields	record_sha256
https://tooloracle.io/hedera/mcp/	measured	speaks_mcp_and_lists_tools	9	HederaOracle	payment	259a86804671f57a4d5d06885e88a3d12f9b705c5ea826f1b68e53c64f70b70d
https://tooloracle.io/meme/mcp/	measured	speaks_mcp_and_lists_tools	9	MemeOracle	payment	e0bbab21419977d2ae7660b8420e8758fb9fa2c252f920ebe1144bdc5306b119
https://tooloracle.io/news/mcp/	measured	speaks_mcp_and_lists_tools	9	NewsOracle	payment	12b05db71f0095c41efacfcdc646d8681e21062b70558c2e9de17ded3744a32c
https://tooloracle.io/sui/mcp/	measured	speaks_mcp_and_lists_tools	9	SuiOracle	payment	e11c9081ebfdba0ccde85c9f9625a4ac882aa6367ab99cf85cf5487a6350ee02
https://astranl.com/mcp/streamable	measured	speaks_mcp_and_lists_tools	8	astranl-mcp	pricing	1d70137e8442901c7c19469eb12e248dbcb88a408c179dacb9a989899a6f9529
https://ckg-nvidia-nemoclaw.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	8	ckg-nvidia-nemoclaw	payments	c88bec33f695b9a70e5aa8d894561afbf43be3b0121518befacd97883ca0712e
https://mcp.askew.network/mcp	measured	speaks_mcp_and_lists_tools	8	askew-x402	payments	2d25b2ee6bec82c11f903c91a6b92c5d9f19e6e29c4677f55699d6fea69ffed1
https://mem.borisinc.com/mcp	measured	speaks_mcp_and_lists_tools	8	memory-mcp	pricing	49d0561789f475e4052233adea47cb6f868b3817536417dc49c87b9be826d95d
https://tooloracle.io/ecommerce/mcp/	measured	speaks_mcp_and_lists_tools	8	EcommerceOracle	payment	36812ba5cb0f7a8d78df56be3aa08ab362bc474fa4bc971b8d8ff26f3586fded
https://tooloracle.io/flight/mcp/	measured	speaks_mcp_and_lists_tools	8	FlightOracle	payment	a8433a08d767ecff3d2b101dfd4e1ce6cb27dad1f9f8db8ee8482ec1f71848a8
https://tooloracle.io/hotel/mcp/	measured	speaks_mcp_and_lists_tools	8	HotelOracle	payment	c759ecf634d11c41a0350454e9af1600d635879f59c08e515ad2cbfd3b53fa82
https://tooloracle.io/jobs/mcp/	measured	speaks_mcp_and_lists_tools	8	JobOracle	payment	5b2be1fbc8865afd5cc722beb0f0e241c688ce9757d15bd893892a74c7064683
https://tooloracle.io/review/mcp/	measured	speaks_mcp_and_lists_tools	8	ReviewOracle	payment	08211a29dad2390b9144deffe1227a9ea6305492d389935547c933ac78f2cc75
https://tooloracle.io/smart/mcp/	measured	speaks_mcp_and_lists_tools	8	SmartMoneyOracle	payment	8f305e3986a3d2e1ec0506851e8d5ce1181b353e59bf7e1f50f91a3f051efb2b
https://tooloracle.io/yield/mcp/	measured	speaks_mcp_and_lists_tools	8	YieldOracle	payment	ff1a9f370cf672f5efb1b8b43f7d223e7f869096d2b4f984e8f5abedddcbba7d
https://x402.ailabra.org/mcp	measured	speaks_mcp_and_lists_tools	8	Ailabra Agent Profit Ledger	payment	489b3d4b410238d5f562fcfa4f921198859795fc9df8292ac75b3dbbeb05b56d
https://aegis-mcp.borisinc.com/mcp	measured	speaks_mcp_and_lists_tools	7	aegis	pricing	f478d1844d3dd7afd03f0a55fc7eed25146e097a59ea3c469cd21dc9e908a7d1
https://api.odei.ai/mcp	measured	speaks_mcp_and_lists_tools	7	odei-connect-gateway	payment	a6fb8028b677ec347d0c3fdd9e419e85e51ce081c49acf97bafbdee42488dbe7
https://api.slideforge.dev/mcp/	measured	speaks_mcp_and_lists_tools	7	slideforge	pricing	c769d2c4d6486ab8bbaf1f87fad3cb0a8ff65ab4c8d811c00885b44928194fd3
https://tooloracle.io/lead/mcp/	measured	speaks_mcp_and_lists_tools	7	LeadOracle	payment	83e48240fdf5237f14efbb54f5e504fb099aa3f14253d223aa65b99524fbdd0a
https://tooloracle.io/price/mcp/	measured	speaks_mcp_and_lists_tools	7	PriceOracle	payment	9945fe2328fde3f7716247140f927a505afff041c3f17e437e4b0aaa022e483a
https://tooloracle.io/seo2/mcp/	measured	speaks_mcp_and_lists_tools	7	SEOOracle v2	payment	66809246595a2dcfeeefcf787f6688e51784e8ddd30528c90af04aeb7b40fa57
https://api.agentrapay.ai/mcp	measured	speaks_mcp_and_lists_tools	6	agentra	pricing	7ebeda9715c00658a4816c77d019bbc00e164453af5e9f38620d4284f0d6e8d5
https://api.swarmsync.ai/mcp/messages	measured	speaks_mcp_and_lists_tools	6	swarmsync	pricing	d0ac8a3a9adf7aa0eac9208627f71554feee959fa5a5d52e5984fdbbd6288173
https://cesaryague.es/mcp	measured	speaks_mcp_and_lists_tools	6	PaKi Curator — Visual Medicine Art Catalog	pricing	abde74a59809bda3ba1acee0c1e5cebefec21b95f1e8a3d875eb11b502f721e4
https://eqbuilder.dev/api/mcp	measured	speaks_mcp_and_lists_tools	6	marz-greta-lock-network	pricing	ec9bf95377c2e82bcec66178911081d3ddacc069b0610c376f013d6694c1ac57
https://getamber.dev/api/mcp	measured	speaks_mcp_and_lists_tools	6	ambr-mcp-server	pricing	6e24eb49f664e298248e5bedd59f736d89f223c921880a3f99bd662d82310db7
https://hearing.horizonshield.dev/mcp	measured	speaks_mcp_and_lists_tools	6	HORIZON SHIELD YAKUMO	compensation	8421e9d2179a91aec39567764628a82fd6b100c418c3e55980fca05323348ea7
https://secondopinionx402.com/mcp	measured	speaks_mcp_and_lists_tools	6	second-opinion	payment	0925135ab093934f9be64f23aae6d1a885d6dc704b4e7f142464eb42e4a1a6df
https://xsignal-production.up.railway.app/mcp	measured	speaks_mcp_and_lists_tools	6	xsignal	payment	0268f0ff00e9184868223a275c35a08caf61d883412ef19092adf449c907abca
https://gate.horizonshield.dev/mcp	measured	speaks_mcp_and_lists_tools	5	hs-verify-gate	compensation	86eb8609e28fb434122f61a4c4f2a4423ab62aeb1efc29aa6bb09c40fcdbd002
https://hivebank.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	5	hivebank	payment	53977867d137ae960bcb0464a1c70a9cf9eda9e52e74f07f663c19185d3e988b
https://mcp.borisinc.com/mcp	measured	speaks_mcp_and_lists_tools	5	gamedatakit	pricing	4c141e363e9f011576269e8f30b891787b11d93e682b9efadcfa29674ba22fa2
https://mcpvot.xyz/api/mcp	measured	speaks_mcp_and_lists_tools	5	mcpvot	payment	4555fbdd5d60b27d9988031fd355dd89abe1302ee0a98247861f7d18bf20dd4d
https://tooloracle.io/mcp/nomos	measured	speaks_mcp_and_lists_tools	5	nomos-crossborder-broker	payment	86e533dd8ba82349ea35e70a11dbf206900ce6f15b3b0b22efd3079efe6a04d9
https://web.horizonshield.dev/mcp	measured	speaks_mcp_and_lists_tools	5	hs-webmcp	compensation	56646275b8659f3bfbd4dab4b10904b848f9161973f32c4afe37380bf21284c7
https://api.merona.io/mcp	measured	speaks_mcp_and_lists_tools	4	merona-mcp	pricing	668bae4d1049d96c974e5d91d39cb334db47c61d77d25843fa70d209c2d6698d
https://api.zaroniacalculator.co.za/mcp	measured	speaks_mcp_and_lists_tools	4	zaronia-verify	payment	abaeecc800cbb8aab1b7f92b72c3e7396ec9fb1f310c5fef981f4027957a6d91
https://headlessoracle.mmsebenzi-oracle.workers.dev/mcp	measured	speaks_mcp_and_lists_tools	4	headless-oracle	payment	92a0ee1ee11f2b356693755f0f656b2813d37688e52cd848f890940d3c95df69
https://hive-mcp-oracle.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	4	hive-mcp-oracle	payment	f5fbe5f5e50fe9aa637db2c01b5633c10c1323a715351186f4bb48e0219cd8a8
https://hiveclear.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	4	hiveclear	payment	ab2c378e8019409e351805a2a9f277d487c4c181149e40c9a23d3c8ddd060d56
https://hiveconsult.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	4	hiveconsult	payment	5cb8a715adc225f1d8fc3a574cbd04eb8ff92d01389cd0d04f89dfd8d84f8a3e
https://hivegate.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	4	hive-civilization	payment	70dad7d1db5bcbe097081c96de5ef53abb902a5780b6bcffe1b43bb6884c00c5
https://jidec.horizonshield.dev/mcp	measured	speaks_mcp_and_lists_tools	4	hs-jidec-mcp	compensation	097c6ac0c2f3282920fbc632930cc2cd49dcfde87c152c5139c9eb6a7d5a4bab
https://lazaretto.dev/mcp	measured	speaks_mcp_and_lists_tools	4	lazaretto	payments	0671a08f2668beb804194938b4d5453325befe62d97b68d1a76492c3f332748a
https://x402-gas-api.vercel.app/mcp	measured	speaks_mcp_and_lists_tools	4	mgo-gas-optimizer	capabilities.payment	ae905f0f014ed26a3654f9e3ea4ec73e0391f60dfd66be2ead0aeea741ec792f
https://bridgenode.cc/mcp	measured	speaks_mcp_and_lists_tools	3	bridgenode	pricing	e11247d8bd4d1a101b6a80df8de65c551c3a3a53e97f3badbfe92e51ac164593
https://tools.borisinc.com/mcp/	measured	speaks_mcp_and_lists_tools	3	boris-tools	pricing	25e9874a9ea64b376ba99bf59a5b61f17c3b88f4169f23d96d1d716541edc02d
